r2_object_key,year,team,filename_player,match_status,matched_card_key,image_url,source_name,source_year
card-images/1874/PHI-John-Donnelly.png,1874,PHI,John Donnelly,SAFE_EXACT,John Donnelly 1874 PHI,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1874/PHI-John-Donnelly.png,cloudflare-r2,1874
card-images/1879/BSN-Bill-Hawes.png,1879,BSN,Bill Hawes,SAFE_EXACT,Bill Hawes 1879 BSN,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1879/BSN-Bill-Hawes.png,cloudflare-r2,1879
card-images/1883/NYP-Dave-Orr.png,1883,NYP,Dave Orr,SAFE_EXACT,Dave Orr 1883 NYP,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1883/NYP-Dave-Orr.png,cloudflare-r2,1883
card-images/1883/NYP-Sam-Crane.png,1883,NYP,Sam Crane,SAFE_EXACT,Sam Crane 1883 NYP,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1883/NYP-Sam-Crane.png,cloudflare-r2,1883
card-images/1891/PHA-George-Wood.png,1891,PHA,George Wood,SAFE_EXACT,George Wood 1891 PHA,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1891/PHA-George-Wood.png,cloudflare-r2,1891
card-images/1898/CLV-Ossee-Schrecongost.png,1898,CLV,Ossee Schrecongost,SAFE_EXACT,Ossee Schrecongost 1898 CLV,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1898/CLV-Ossee-Schrecongost.png,cloudflare-r2,1898
card-images/1898/STL-Jake-Stenzel.png,1898,STL,Jake Stenzel,SAFE_EXACT,Jake Stenzel 1898 STL,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1898/STL-Jake-Stenzel.png,cloudflare-r2,1898
card-images/1916/PHI-Grover-Alexander.png,1916,PHI,Grover Alexander,SAFE_EXACT,Grover Alexander 1916 PHI,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1916/PHI-Grover-Alexander.png,cloudflare-r2,1916
card-images/1919/PHA-Walt-Kinney.png,1919,PHA,Walt Kinney,SAFE_EXACT,Walt Kinney 1919 PHA,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1919/PHA-Walt-Kinney.png,cloudflare-r2,1919
card-images/1924/BRO-Dazzy-Vance.png,1924,BRO,Dazzy Vance,SAFE_EXACT,Dazzy Vance 1924 BRO,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1924/BRO-Dazzy-Vance.png,cloudflare-r2,1924
card-images/1925/ABC-Buck-Alexander.png,1925,ABC,Buck Alexander,SAFE_EXACT,Buck Alexander 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Buck-Alexander.png,cloudflare-r2,1925
card-images/1925/ABC-Ed-Rile.png,1925,ABC,Ed Rile,SAFE_EXACT,Ed Rile 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Ed-Rile.png,cloudflare-r2,1925
card-images/1925/ABC-Ernest-Duff.png,1925,ABC,Ernest Duff,SAFE_EXACT,Ernest Duff 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Ernest-Duff.png,cloudflare-r2,1925
card-images/1925/ABC-Frank-Stevens.png,1925,ABC,Frank Stevens,SAFE_EXACT,Frank Stevens 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Frank-Stevens.png,cloudflare-r2,1925
card-images/1925/ABC-George-Collins.png,1925,ABC,George Collins,SAFE_EXACT,George Collins 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-George-Collins.png,cloudflare-r2,1925
card-images/1925/ABC-Harold-Treadwell.png,1925,ABC,Harold Treadwell,SAFE_EXACT,Harold Treadwell 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Harold-Treadwell.png,cloudflare-r2,1925
card-images/1925/ABC-Hop-Bartlett.png,1925,ABC,Hop Bartlett,SAFE_EXACT,Hop Bartlett 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Hop-Bartlett.png,cloudflare-r2,1925
card-images/1925/ABC-Howard-Ross.png,1925,ABC,Howard Ross,SAFE_EXACT,Howard Ross 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Howard-Ross.png,cloudflare-r2,1925
card-images/1925/ABC-J.H.-Hamilton.png,1925,ABC,J.H. Hamilton,SAFE_EXACT,J.H. Hamilton 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-J.H.-Hamilton.png,cloudflare-r2,1925
card-images/1925/ABC-Maywood-Brown.png,1925,ABC,Maywood Brown,SAFE_EXACT,Maywood Brown 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Maywood-Brown.png,cloudflare-r2,1925
card-images/1925/ABC-Milton-Smith.png,1925,ABC,Milton Smith,SAFE_EXACT,Milton Smith 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Milton-Smith.png,cloudflare-r2,1925
card-images/1925/ABC-Mose-Offutt.png,1925,ABC,Mose Offutt,SAFE_EXACT,Mose Offutt 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Mose-Offutt.png,cloudflare-r2,1925
card-images/1925/ABC-Omer-Newsome.png,1925,ABC,Omer Newsome,SAFE_EXACT,Omer Newsome 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Omer-Newsome.png,cloudflare-r2,1925
card-images/1925/ABC-Stack-Martin.png,1925,ABC,Stack Martin,SAFE_EXACT,Stack Martin 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Stack-Martin.png,cloudflare-r2,1925
card-images/1925/ABC-Steve-White.png,1925,ABC,Steve White,SAFE_EXACT,Steve White 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Steve-White.png,cloudflare-r2,1925
card-images/1925/ABC-Tiny-Baldwin.png,1925,ABC,Tiny Baldwin,SAFE_EXACT,Tiny Baldwin 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Tiny-Baldwin.png,cloudflare-r2,1925
card-images/1925/ABC-Will-Owens.png,1925,ABC,Will Owens,SAFE_EXACT,Will Owens 1925 ABC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/ABC-Will-Owens.png,cloudflare-r2,1925
card-images/1925/AC-Ambrose-Reid.png,1925,AC,Ambrose Reid,SAFE_EXACT,Ambrose Reid 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Ambrose-Reid.png,cloudflare-r2,1925
card-images/1925/AC-Bennie-Wilson.png,1925,AC,Bennie Wilson,SAFE_EXACT,Bennie Wilson 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Bennie-Wilson.png,cloudflare-r2,1925
card-images/1925/AC-Bobo-Leonard.png,1925,AC,Bobo Leonard,SAFE_EXACT,Bobo Leonard 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Bobo-Leonard.png,cloudflare-r2,1925
card-images/1925/AC-Charlie-Mason.png,1925,AC,Charlie Mason,SAFE_EXACT,Charlie Mason 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Charlie-Mason.png,cloudflare-r2,1925
card-images/1925/AC-Country-Brown.png,1925,AC,Country Brown,SAFE_EXACT,Country Brown 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Country-Brown.png,cloudflare-r2,1925
card-images/1925/AC-Luther-Farrell.png,1925,AC,Luther Farrell,SAFE_EXACT,Luther Farrell 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Luther-Farrell.png,cloudflare-r2,1925
card-images/1925/AC-Tom-Finley.png,1925,AC,Tom Finley,SAFE_EXACT,Tom Finley 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Tom-Finley.png,cloudflare-r2,1925
card-images/1925/AC-Willie-Jones.png,1925,AC,Willie Jones,SAFE_EXACT,Willie Jones 1925 AC,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/AC-Willie-Jones.png,cloudflare-r2,1925
card-images/1925/BBB-Bill-Foster.png,1925,BBB,Bill Foster,SAFE_EXACT,Bill Foster 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Bill-Foster.png,cloudflare-r2,1925
card-images/1925/BBB-Bunk-Henderson.png,1925,BBB,Bunk Henderson,SAFE_EXACT,Bunk Henderson 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Bunk-Henderson.png,cloudflare-r2,1925
card-images/1925/BBB-Charlie-Beverly.png,1925,BBB,Charlie Beverly,SAFE_EXACT,Charlie Beverly 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Charlie-Beverly.png,cloudflare-r2,1925
card-images/1925/BBB-Edward-Salters.png,1925,BBB,Edward Salters,SAFE_EXACT,Edward Salters 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Edward-Salters.png,cloudflare-r2,1925
card-images/1925/BBB-Eppie-Hamilton.png,1925,BBB,Eppie Hamilton,SAFE_EXACT,Eppie Hamilton 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Eppie-Hamilton.png,cloudflare-r2,1925
card-images/1925/BBB-Frank-Stevens.png,1925,BBB,Frank Stevens,SAFE_EXACT,Frank Stevens 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Frank-Stevens.png,cloudflare-r2,1925
card-images/1925/BBB-Fred-Daniels.png,1925,BBB,Fred Daniels,SAFE_EXACT,Fred Daniels 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Fred-Daniels.png,cloudflare-r2,1925
card-images/1925/BBB-Geechie-Meredith.png,1925,BBB,Geechie Meredith,SAFE_EXACT,Geechie Meredith 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Geechie-Meredith.png,cloudflare-r2,1925
card-images/1925/BBB-Grady-Orange.png,1925,BBB,Grady Orange,SAFE_EXACT,Grady Orange 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Grady-Orange.png,cloudflare-r2,1925
card-images/1925/BBB-Harry-Salmon.png,1925,BBB,Harry Salmon,SAFE_EXACT,Harry Salmon 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Harry-Salmon.png,cloudflare-r2,1925
card-images/1925/BBB-Herman-Roth.png,1925,BBB,Herman Roth,SAFE_EXACT,Herman Roth 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Herman-Roth.png,cloudflare-r2,1925
card-images/1925/BBB-Jesse-Edwards.png,1925,BBB,Jesse Edwards,SAFE_EXACT,Jesse Edwards 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Jesse-Edwards.png,cloudflare-r2,1925
card-images/1925/BBB-John-Pardee.png,1925,BBB,John Pardee,SAFE_EXACT,John Pardee 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-John-Pardee.png,cloudflare-r2,1925
card-images/1925/BBB-Pythias-Russ.png,1925,BBB,Pythias Russ,SAFE_EXACT,Pythias Russ 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Pythias-Russ.png,cloudflare-r2,1925
card-images/1925/BBB-Ruben-Jones.png,1925,BBB,Ruben Jones,SAFE_EXACT,Ruben Jones 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Ruben-Jones.png,cloudflare-r2,1925
card-images/1925/BBB-Sam-Streeter.png,1925,BBB,Sam Streeter,SAFE_EXACT,Sam Streeter 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Sam-Streeter.png,cloudflare-r2,1925
card-images/1925/BBB-Saul-Davis.png,1925,BBB,Saul Davis,SAFE_EXACT,Saul Davis 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Saul-Davis.png,cloudflare-r2,1925
card-images/1925/BBB-Square-Moore.png,1925,BBB,Square Moore,SAFE_EXACT,Square Moore 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Square-Moore.png,cloudflare-r2,1925
card-images/1925/BBB-Wilson-Joseph.png,1925,BBB,Wilson Joseph,SAFE_EXACT,Wilson Joseph 1925 BBB,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBB-Wilson-Joseph.png,cloudflare-r2,1925
card-images/1925/BBS-Blainey-Hall.png,1925,BBS,Blainey Hall,SAFE_EXACT,Blainey Hall 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Blainey-Hall.png,cloudflare-r2,1925
card-images/1925/BBS-Bob-McClure.png,1925,BBS,Bob McClure,SAFE_EXACT,Bob McClure 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Bob-McClure.png,cloudflare-r2,1925
card-images/1925/BBS-Bobo-Leonard.png,1925,BBS,Bobo Leonard,SAFE_EXACT,Bobo Leonard 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Bobo-Leonard.png,cloudflare-r2,1925
card-images/1925/BBS-Crush-Holloway.png,1925,BBS,Crush Holloway,SAFE_EXACT,Crush Holloway 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Crush-Holloway.png,cloudflare-r2,1925
card-images/1925/BBS-Harry-Jeffries.png,1925,BBS,Harry Jeffries,SAFE_EXACT,Harry Jeffries 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Harry-Jeffries.png,cloudflare-r2,1925
card-images/1925/BBS-Heavy-Johnson.png,1925,BBS,Heavy Johnson,SAFE_EXACT,Heavy Johnson 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Heavy-Johnson.png,cloudflare-r2,1925
card-images/1925/BBS-Jessop.png,1925,BBS,Jessop,SAFE_EXACT,Jessop 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Jessop.png,cloudflare-r2,1925
card-images/1925/BBS-Julio-Rojo.png,1925,BBS,Julio Rojo,SAFE_EXACT,Julio Rojo 1925 BBS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BBS-Julio-Rojo.png,cloudflare-r2,1925
card-images/1925/BRG-Bill-Watson.png,1925,BRG,Bill Watson,SAFE_EXACT,Bill Watson 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Bill-Watson.png,cloudflare-r2,1925
card-images/1925/BRG-Bunny-Downs.png,1925,BRG,Bunny Downs,SAFE_EXACT,Bunny Downs 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Bunny-Downs.png,cloudflare-r2,1925
card-images/1925/BRG-Charlie-Smith.png,1925,BRG,Charlie Smith,SAFE_EXACT,Charlie Smith 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Charlie-Smith.png,cloudflare-r2,1925
card-images/1925/BRG-Cool-Turner.png,1925,BRG,Cool Turner,SAFE_EXACT,Cool Turner 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Cool-Turner.png,cloudflare-r2,1925
card-images/1925/BRG-Dick-Redding.png,1925,BRG,Dick Redding,SAFE_EXACT,Dick Redding 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Dick-Redding.png,cloudflare-r2,1925
card-images/1925/BRG-Eddie-Douglass.png,1925,BRG,Eddie Douglass,SAFE_EXACT,Eddie Douglass 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Eddie-Douglass.png,cloudflare-r2,1925
card-images/1925/BRG-Jesse-Hubbard.png,1925,BRG,Jesse Hubbard,SAFE_EXACT,Jesse Hubbard 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Jesse-Hubbard.png,cloudflare-r2,1925
card-images/1925/BRG-Johnson-Hill.png,1925,BRG,Johnson Hill,SAFE_EXACT,Johnson Hill 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Johnson-Hill.png,cloudflare-r2,1925
card-images/1925/BRG-Willis-Flournoy.png,1925,BRG,Willis Flournoy,SAFE_EXACT,Willis Flournoy 1925 BRG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/BRG-Willis-Flournoy.png,cloudflare-r2,1925
card-images/1925/CAG-Bobby-Williams.png,1925,CAG,Bobby Williams,SAFE_EXACT,Bobby Williams 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Bobby-Williams.png,cloudflare-r2,1925
card-images/1925/CAG-Cristobal-Torriente.png,1925,CAG,Cristobal Torriente,SAFE_EXACT,Cristobal Torriente 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Cristobal-Torriente.png,cloudflare-r2,1925
card-images/1925/CAG-Dave-Malarcher.png,1925,CAG,Dave Malarcher,SAFE_EXACT,Dave Malarcher 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Dave-Malarcher.png,cloudflare-r2,1925
card-images/1925/CAG-Earl-Gurley.png,1925,CAG,Earl Gurley,SAFE_EXACT,Earl Gurley 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Earl-Gurley.png,cloudflare-r2,1925
card-images/1925/CAG-Frank-Stevens.png,1925,CAG,Frank Stevens,SAFE_EXACT,Frank Stevens 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Frank-Stevens.png,cloudflare-r2,1925
card-images/1925/CAG-George-Harney.png,1925,CAG,George Harney,SAFE_EXACT,George Harney 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-George-Harney.png,cloudflare-r2,1925
card-images/1925/CAG-Gibson.png,1925,CAG,Gibson,SAFE_EXACT,Gibson 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Gibson.png,cloudflare-r2,1925
card-images/1925/CAG-Howard-Ross.png,1925,CAG,Howard Ross,SAFE_EXACT,Howard Ross 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Howard-Ross.png,cloudflare-r2,1925
card-images/1925/CAG-James-Bray.png,1925,CAG,James Bray,SAFE_EXACT,James Bray 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-James-Bray.png,cloudflare-r2,1925
card-images/1925/CAG-Jim-Brown.png,1925,CAG,Jim Brown,SAFE_EXACT,Jim Brown 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Jim-Brown.png,cloudflare-r2,1925
card-images/1925/CAG-LeRoy-Taylor.png,1925,CAG,LeRoy Taylor,SAFE_EXACT,LeRoy Taylor 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-LeRoy-Taylor.png,cloudflare-r2,1925
card-images/1925/CAG-Sam-Crawford.png,1925,CAG,Sam Crawford,SAFE_EXACT,Sam Crawford 1925 CAG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CAG-Sam-Crawford.png,cloudflare-r2,1925
card-images/1925/CSE-Alejandro-Oms.png,1925,CSE,Alejandro Oms,SAFE_EXACT,Alejandro Oms 1925 CSE,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSE-Alejandro-Oms.png,cloudflare-r2,1925
card-images/1925/CSE-Bernardo-Baro.png,1925,CSE,Bernardo Baro,SAFE_EXACT,Bernardo Baro 1925 CSE,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSE-Bernardo-Baro.png,cloudflare-r2,1925
card-images/1925/CSE-Isidro-Fabre.png,1925,CSE,Isidro Fabre,SAFE_EXACT,Isidro Fabre 1925 CSE,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSE-Isidro-Fabre.png,cloudflare-r2,1925
card-images/1925/CSE-Manuel-Salvat.png,1925,CSE,Manuel Salvat,SAFE_EXACT,Manuel Salvat 1925 CSE,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSE-Manuel-Salvat.png,cloudflare-r2,1925
card-images/1925/CSE-Martin-Dihigo.png,1925,CSE,Martin Dihigo,SAFE_EXACT,Martin Dihigo 1925 CSE,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSE-Martin-Dihigo.png,cloudflare-r2,1925
card-images/1925/CSE-Salvador-Massip.png,1925,CSE,Salvador Massip,SAFE_EXACT,Salvador Massip 1925 CSE,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSE-Salvador-Massip.png,cloudflare-r2,1925
card-images/1925/CSW-Esteban-Montalvo.png,1925,CSW,Esteban Montalvo,SAFE_EXACT,Esteban Montalvo 1925 CSW,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSW-Esteban-Montalvo.png,cloudflare-r2,1925
card-images/1925/CSW-Felton-Stratton.png,1925,CSW,Felton Stratton,SAFE_EXACT,Felton Stratton 1925 CSW,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSW-Felton-Stratton.png,cloudflare-r2,1925
card-images/1925/CSW-Valentin-Dreke.png,1925,CSW,Valentin Dreke,SAFE_EXACT,Valentin Dreke 1925 CSW,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/CSW-Valentin-Dreke.png,cloudflare-r2,1925
card-images/1925/DS-Anderson-Pryor.png,1925,DS,Anderson Pryor,SAFE_EXACT,Anderson Pryor 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Anderson-Pryor.png,cloudflare-r2,1925
card-images/1925/DS-Andy-Cooper.png,1925,DS,Andy Cooper,SAFE_EXACT,Andy Cooper 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Andy-Cooper.png,cloudflare-r2,1925
card-images/1925/DS-Buck-Alexander.png,1925,DS,Buck Alexander,SAFE_EXACT,Buck Alexander 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Buck-Alexander.png,cloudflare-r2,1925
card-images/1925/DS-Edgar-Wesley.png,1925,DS,Edgar Wesley,SAFE_EXACT,Edgar Wesley 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Edgar-Wesley.png,cloudflare-r2,1925
card-images/1925/DS-George-McAllister.png,1925,DS,George McAllister,SAFE_EXACT,George McAllister 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-George-McAllister.png,cloudflare-r2,1925
card-images/1925/DS-Harry-Kenyon.png,1925,DS,Harry Kenyon,SAFE_EXACT,Harry Kenyon 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Harry-Kenyon.png,cloudflare-r2,1925
card-images/1925/DS-Joe-Hewitt.png,1925,DS,Joe Hewitt,SAFE_EXACT,Joe Hewitt 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Joe-Hewitt.png,cloudflare-r2,1925
card-images/1925/DS-Lawrence-Terrell.png,1925,DS,Lawrence Terrell,SAFE_EXACT,Lawrence Terrell 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Lawrence-Terrell.png,cloudflare-r2,1925
card-images/1925/DS-Lucius-Hampton.png,1925,DS,Lucius Hampton,SAFE_EXACT,Lucius Hampton 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Lucius-Hampton.png,cloudflare-r2,1925
card-images/1925/DS-Omer-Newsome.png,1925,DS,Omer Newsome,SAFE_EXACT,Omer Newsome 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Omer-Newsome.png,cloudflare-r2,1925
card-images/1925/DS-Ray-Sheppard.png,1925,DS,Ray Sheppard,SAFE_EXACT,Ray Sheppard 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Ray-Sheppard.png,cloudflare-r2,1925
card-images/1925/DS-Slim-Branham.png,1925,DS,Slim Branham,SAFE_EXACT,Slim Branham 1925 DS,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/DS-Slim-Branham.png,cloudflare-r2,1925
card-images/1925/HBG-Bill-Johnson.png,1925,HBG,Bill Johnson,SAFE_EXACT,Bill Johnson 1925 HBG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/HBG-Bill-Johnson.png,cloudflare-r2,1925
card-images/1925/HBG-Charlie-Henry.png,1925,HBG,Charlie Henry,SAFE_EXACT,Charlie Henry 1925 HBG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/HBG-Charlie-Henry.png,cloudflare-r2,1925
card-images/1925/HBG-Hen-Jordan.png,1925,HBG,Hen Jordan,SAFE_EXACT,Hen Jordan 1925 HBG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/HBG-Hen-Jordan.png,cloudflare-r2,1925
card-images/1925/HBG-Oscar-Charleston.png,1925,HBG,Oscar Charleston,SAFE_EXACT,Oscar Charleston 1925 HBG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/HBG-Oscar-Charleston.png,cloudflare-r2,1925
card-images/1925/HBG-Tex-Burnett.png,1925,HBG,Tex Burnett,SAFE_EXACT,Tex Burnett 1925 HBG,https://pub-67aab109454d41809ce03ab0c1c9567d.r2.dev/card-images/1925/HBG-Tex-Burnett.png,cloudflare-r2,1925
